"","mode1","mode2","mean_confidence_cohen_d","mean_confidence_cohen_d_low","mean_confidence_cohen_d_high"
"1","Baseline","Full",0.915178669182155,0.304676365762553,1.633356774448
"2","Baseline","Low",0.775478944377963,0.166764544704597,1.47327828045527
"3","Baseline","Masked",1.05319121604651,0.439429368448391,1.79047290774387
"4","Baseline","Moderate",0.453414831644895,-0.157140488948443,1.11368346372579
"5","Full","Low",0.0824463518164607,-0.541208376418658,0.71564799846294
"6","Full","Masked",0.202429115939124,-0.415993677387448,0.844922265272967
"7","Full","Moderate",0.426064970820772,-0.185022235178306,1.08388151035075
"8","Low","Masked",0.269446647458821,-0.346189630206081,0.916254399507408
"9","Low","Moderate",0.323471635597675,-0.290024694015127,0.971605706537472
"10","Masked","Moderate",0.597134754868504,-0.0116002091523081,1.27121399294776
