id,mode,mode_description,scr30_percent,sample,scr36,scrambled_sec2,session,duration_main,failed_attention,scr30,scr36_percent,rate_answers,rate_correct,rate_wrong,mean_confidence,mean_confidence_right,mean_confidence_wrong,n_confident_wrong,n_confident_right,n_unconfident_wrong,n_unconfident_right,mean_ibr,precision,recall,npv,specificity,f1,age,isMale,isGrad,isUS,us_months,isEnglish,isDataOriented,char_display,icons,mode_paper
287,5,5 - Minimum Disclosure,76.66666666666667,10,29,TRUE,2,20.067983333333334,0,23,80.55555555555556,1.4949185227879564,1.1461042008041,0.34881432198385653,2.4444444444444446,2.586206896551724,1.8571428571428572,0,20,1,3,0.25925925925925924,0.7499999999999999,0.8823529411764706,0.875,0.7368421052631579,0.8108108108108106,20,0,0,1,243,0,0,0,1233,Masked
6,1,1 - Full Disclosure with no intervention,86.66666666666667,4,31,TRUE,3,7.170733333333334,1,26,86.11111111111111,4.1836725207091785,3.625849517947955,0.5578230027612239,2.888888888888889,2.870967741935484,3,5,28,0,1,0.2762345679012346,0.8333333333333333,0.8823529411764706,0.8888888888888888,0.8421052631578947,0.8571428571428571,27,0,1,0,2,0,1,2221,0,Baseline
9,2,2 - Full Disclosure with intervention,76.66666666666667,9,29,FALSE,5,7.10435,0,23,80.55555555555556,4.222764925714527,3.2374531097144708,0.9853118160000562,1.7777777777777777,1.896551724137931,1.2857142857142858,0,7,5,10,0.2299382716049383,0.7272727272727273,0.9411764705882353,0.9285714285714285,0.6842105263157895,0.8205128205128205,18,0,0,0,43,0,0,2266,0,Full
502,4,4 - Partial Disclosure,80,6,30,FALSE,6,11.41605,0,24,83.33333333333333,2.627879170115758,2.1023033360926062,0.5255758340231516,2.4444444444444446,2.5,2.1666666666666665,1,17,0,2,0.23765432098765432,0.7619047619047619,0.9411764705882353,0.9333333333333333,0.7368421052631579,0.8421052631578947,24,0,1,0,11,0,0,165,1127,Low
262,5,5 - Minimum Disclosure,73.33333333333333,1,28,TRUE,2,11.45975,0,22,77.77777777777777,2.6178581557189293,1.919762647527215,0.6980955081917145,2.6666666666666665,2.7857142857142856,2.25,2,23,0,1,0.2515432098765432,0.7142857142857143,0.8823529411764706,0.8666666666666666,0.6842105263157895,0.7894736842105262,19,1,0,1,228,1,0,0,1228,Masked
190,3,3 - Selective Disclosure,70,2,27,TRUE,1,5.6655,0,21,75,5.295207836907599,3.706645485835319,1.5885623510722797,2.4166666666666665,2.4814814814814814,2.2222222222222223,2,13,0,0,0.2569444444444444,0.7222222222222221,0.7647058823529411,0.7777777777777778,0.7368421052631579,0.7428571428571427,25,0,1,0,36,0,0,688,603,Moderate
47,2,2 - Full Disclosure with intervention,73.33333333333333,3,27,FALSE,5,5.82365,1,22,75,5.151408480935496,3.7776995526860304,1.3737089282494657,2.6944444444444446,2.7037037037037037,2.6666666666666665,6,19,0,0,0.283179012345679,0.6666666666666666,0.9411764705882353,0.9166666666666666,0.5789473684210527,0.7804878048780487,28,1,1,0,18,0,0,2273,0,Full
242,5,5 - Minimum Disclosure,80,2,30,TRUE,2,7.106883333333333,0,24,83.33333333333333,4.2212596707886485,3.377007736630919,0.8442519341577297,2,2.066666666666667,1.6666666666666667,1,10,3,8,0.24845679012345678,0.7619047619047619,0.9411764705882353,0.9333333333333333,0.7368421052631579,0.8421052631578947,19,0,0,1,239,1,0,0,1239,Masked
280,2,2 - Full Disclosure with intervention,90,9,33,FALSE,6,14.455283333333334,0,27,91.66666666666667,2.075365754389687,1.867829178950718,0.20753657543896867,2.5833333333333335,2.606060606060606,2.3333333333333335,2,23,1,3,0.26774691358024694,0.85,1,1,0.8421052631578947,0.9189189189189189,23,1,1,0,12,0,1,2266,0,Full
29,5,5 - Minimum Disclosure,76.66666666666667,1,29,TRUE,2,15.13635,0,23,80.55555555555556,1.9819837675529437,1.5195208884572569,0.46246287909568684,2.9722222222222223,2.9655172413793105,3,7,28,0,0,0.2908950617283951,0.7499999999999999,0.8823529411764706,0.875,0.7368421052631579,0.8108108108108106,26,1,1,0,12,0,1,0,1228,Masked
208,3,3 - Selective Disclosure,86.66666666666667,9,32,FALSE,5,10.94075,0,26,88.88888888888889,2.7420423645545324,2.3764367159472615,0.365605648607271,2.4166666666666665,2.4375,2.25,1,19,0,5,0.2183641975308642,0.8823529411764706,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8823529411764706,21,1,0,0,252,1,0,681,593,Moderate
137,4,4 - Partial Disclosure,80,9,30,FALSE,4,9.3956,0,24,83.33333333333333,3.192983949934012,2.5543871599472094,0.6385967899868024,2.111111111111111,2.2333333333333334,1.5,0,14,3,7,0.28703703703703703,0.8235294117647058,0.8235294117647058,0.8421052631578947,0.8421052631578947,0.8235294117647058,24,1,1,0,7,0,0,164,1111,Low
80,2,2 - Full Disclosure with intervention,93.33333333333333,10,34,FALSE,5,7.94615,0,28,94.44444444444444,3.7754132504420377,3.523719033745902,0.25169421669613584,2.3055555555555554,2.323529411764706,2,0,15,0,4,0.2692901234567901,0.9411764705882353,0.9411764705882353,0.9473684210526315,0.9473684210526315,0.9411764705882353,20,0,0,0,248,0,0,2221,0,Full
1060,2,2 - Full Disclosure with intervention,86.66666666666667,9,32,FALSE,6,24.16725,0,26,88.88888888888889,1.2413493467399064,1.075836100507919,0.16551324623198752,2.6666666666666665,2.78125,1.75,1,26,2,1,0.2638888888888889,0.8421052631578947,0.9411764705882353,0.9411764705882353,0.8421052631578947,0.8888888888888888,27,0,1,0,23,0,1,2266,0,Full
1141,4,4 - Partial Disclosure,66.66666666666667,7,26,FALSE,6,5.17405,0,20,72.22222222222223,5.79816584687044,3.8654438979136265,1.9327219489568133,3,3,3,10,26,0,0,0.28703703703703703,0.6521739130434783,0.8823529411764706,0.8461538461538461,0.5789473684210527,0.75,25,1,1,0,24,1,1,166,1107,Low
27,2,2 - Full Disclosure with intervention,80,6,30,FALSE,5,6.445566666666667,0,24,83.33333333333333,4.654361912839316,3.7234895302714524,0.9308723825678631,2.1666666666666665,2.2,2,1,10,1,4,0.2623456790123457,0.7894736842105264,0.8823529411764706,0.8823529411764706,0.7894736842105263,0.8333333333333333,21,1,0,1,252,1,0,2235,0,Full
226,5,5 - Minimum Disclosure,73.33333333333333,10,28,FALSE,5,11.608666666666666,0,22,77.77777777777777,2.5842761155458565,1.8951358180669615,0.6891402974788952,1.7222222222222223,1.8928571428571428,1.125,0,8,7,11,0.22376543209876545,0.7368421052631577,0.8235294117647058,0.8235294117647058,0.7368421052631579,0.7777777777777778,22,1,0,1,144,0,0,0,1233,Masked
21,2,2 - Full Disclosure with intervention,80,3,30,FALSE,5,8.811133333333334,0,24,83.33333333333333,3.404783342286652,2.7238266738293215,0.6809566684573304,2.111111111111111,2.3333333333333335,1,0,13,6,3,0.2947530864197531,0.923076923076923,0.7058823529411765,0.782608695652174,0.9473684210526315,0.8,24,0,1,0,1,0,1,2273,0,Full
258,1,1 - Full Disclosure with no intervention,86.66666666666667,1,32,TRUE,3,14.558283333333334,0,26,88.88888888888889,2.06068252094741,1.7859248514877555,0.2747576694596547,2.388888888888889,2.4375,2,1,20,1,6,0.2993827160493827,0.9333333333333333,0.8235294117647058,0.8571428571428571,0.9473684210526315,0.8749999999999999,28,1,1,0,2,0,0,2314,0,Baseline
98,4,4 - Partial Disclosure,76.66666666666667,2,29,FALSE,4,14.25515,0,23,80.55555555555556,2.104502583276921,1.613451980512306,0.4910506027646149,2.8333333333333335,2.896551724137931,2.5714285714285716,5,27,1,1,0.2854938271604938,0.7272727272727273,0.9411764705882353,0.9285714285714285,0.6842105263157895,0.8205128205128205,25,1,1,0,12,1,1,167,1125,Low
239,2,2 - Full Disclosure with intervention,86.66666666666667,6,32,FALSE,5,7.504733333333333,0,26,88.88888888888889,3.997477147755639,3.4644801947215536,0.5329969530340851,2.2777777777777777,2.34375,1.75,1,16,2,5,0.25,0.8421052631578947,0.9411764705882353,0.9411764705882353,0.8421052631578947,0.8888888888888888,20,0,0,0,116,0,0,2235,0,Full
5,3,3 - Selective Disclosure,70,10,27,TRUE,1,4.731533333333333,0,21,75,6.340439321995689,4.438307525396982,1.9021317965987066,2.5555555555555554,2.5925925925925926,2.4444444444444446,6,19,2,3,0.24537037037037038,0.6666666666666666,0.9411764705882353,0.9166666666666666,0.5789473684210527,0.7804878048780487,20,0,0,1,180,1,0,676,613,Moderate
288,2,2 - Full Disclosure with intervention,86.66666666666667,8,32,FALSE,5,6.782933333333333,0,26,88.88888888888889,4.422865230382135,3.8331498663311843,0.5897153640509514,2.4722222222222223,2.59375,1.5,1,23,3,4,0.2785493827160494,0.8421052631578947,0.9411764705882353,0.9411764705882353,0.8421052631578947,0.8888888888888888,21,0,0,1,262,1,0,2227,0,Full
203,5,5 - Minimum Disclosure,83.33333333333333,9,30,FALSE,5,9.34665,1,25,83.33333333333333,3.2097061514018392,2.674755126168199,0.5349510252336398,2.4444444444444446,2.566666666666667,1.8333333333333333,0,22,1,5,0.2160493827160494,0.7391304347826088,1,1,0.6842105263157895,0.85,27,0,0,1,336,1,0,0,1212,Masked
30,1,1 - Full Disclosure with no intervention,90,2,33,TRUE,3,12.622566666666666,0,27,91.66666666666667,2.376695706367168,2.139026135730451,0.2376695706367168,2.5833333333333335,2.6363636363636362,2,0,21,0,0,0.2800925925925926,0.8888888888888888,0.9411764705882353,0.9444444444444444,0.8947368421052632,0.9142857142857143,26,1,1,0,9,0,0,2253,0,Baseline
154,4,4 - Partial Disclosure,80,5,30,FALSE,6,13.073316666666667,0,24,83.33333333333333,2.294750503251534,1.8358004026012271,0.4589501006503068,2.1666666666666665,2.2,2,2,12,2,6,0.2299382716049383,0.7619047619047619,0.9411764705882353,0.9333333333333333,0.7368421052631579,0.8421052631578947,29,0,1,1,348,1,0,172,1130,Low
268,1,1 - Full Disclosure with no intervention,80,9,30,TRUE,3,3.0748166666666665,0,24,83.33333333333333,9.756679260010083,7.805343408008066,1.9513358520020165,2.6666666666666665,2.7,2.5,4,22,1,1,0.2623456790123457,0.7894736842105264,0.8823529411764706,0.8823529411764706,0.7894736842105263,0.8333333333333333,21,0,0,1,252,1,0,2266,0,Baseline
83,2,2 - Full Disclosure with intervention,66.66666666666667,8,26,FALSE,5,6.46835,0,20,72.22222222222223,4.637967951641454,3.091978634427636,1.545989317213818,1.9722222222222223,2.1923076923076925,1.4,1,10,7,5,0.20756172839506173,0.64,0.9411764705882353,0.9090909090909091,0.5263157894736842,0.7619047619047621,20,NA,0,0,60,1,0,2227,0,Full
19,1,1 - Full Disclosure with no intervention,70,7,27,TRUE,3,9.425683333333334,0,21,75,3.1827931131429903,2.227955179200093,0.9548379339428972,2.8055555555555554,2.814814814814815,2.7777777777777777,7,24,0,2,0.2523148148148148,0.6666666666666666,0.9411764705882353,0.9166666666666666,0.5789473684210527,0.7804878048780487,24,0,1,0,1,0,1,2202,0,Baseline
162,3,3 - Selective Disclosure,90,5,32,TRUE,1,40.76246666666667,1,27,88.88888888888889,0.7359711630143416,0.6623740467129074,0.07359711630143416,2.75,2.78125,2.5,2,26,0,1,0.25848765432098764,0.8095238095238096,1,1,0.7894736842105263,0.8947368421052632,22,1,1,1,228,1,1,691,609,Moderate
