id,sample,click,question,confidence,chosen_answer,confidence_recoded,n_clicks,actual_answer,grade,mode,type,is_attention,page,same
287,10,1,1,0,0,3,1,0,1,5,4,0,1,0
6,4,1,1,5,1,3,1,1,1,1,6,0,1,1
502,6,1,1,5,1,3,1,1,1,4,1,1,1,1
262,1,1,1,5,1,3,1,1,1,5,5,0,1,1
190,2,1,1,4,1,2,1,1,1,3,3,0,1,1
242,2,1,1,4,1,2,1,1,1,5,3,0,1,1
29,1,1,1,5,1,3,1,1,1,5,5,0,1,1
208,9,1,1,5,1,3,1,1,1,3,3,0,1,1
80,10,1,1,0,0,3,1,0,1,2,4,0,1,0
1060,9,1,1,1,0,2,1,1,0,2,3,0,1,1
1141,7,1,1,5,1,3,1,1,1,4,6,0,1,1
27,6,1,1,5,1,3,1,1,1,2,1,1,1,1
226,10,1,1,2,0,1,1,0,1,5,4,0,1,0
21,3,1,1,4,1,2,1,1,1,2,2,0,1,1
258,1,1,1,5,1,3,1,1,1,1,5,0,1,1
98,2,1,2,0,0,3,1,1,0,4,6,0,1,1
239,6,1,1,5,1,3,1,1,1,2,1,1,1,1
5,10,1,1,0,0,3,1,0,1,3,4,0,1,0
288,8,1,1,5,1,3,1,1,1,2,1,1,1,1
203,9,1,1,1,0,2,1,1,0,5,3,0,1,1
30,2,1,1,5,1,3,1,1,1,1,3,0,1,1
154,5,1,1,0,0,3,1,0,1,4,4,0,1,0
268,9,1,1,4,1,2,1,1,1,1,3,0,1,1
162,5,1,6,5,1,3,1,1,1,3,6,0,1,1
1030,4,1,1,3,1,1,1,1,1,4,6,0,1,1
235,7,1,1,5,1,3,1,1,1,3,6,0,1,1
100,10,1,1,1,0,2,1,0,1,4,4,0,1,0
34,5,1,1,2,0,1,1,0,1,2,4,0,1,0
112,2,1,1,5,1,3,1,1,1,2,3,0,1,1
1050,8,1,6,0,0,3,1,0,1,4,4,0,1,0
1010,1,1,1,4,1,2,1,1,1,5,5,0,1,1
85,1,1,1,5,1,3,1,1,1,4,5,0,1,1
88,4,1,1,4,1,2,1,1,1,2,6,0,1,1
13,4,1,1,4,1,2,1,1,1,3,6,0,1,1
198,4,1,1,5,1,3,1,1,1,5,6,0,1,1
32,3,1,1,5,1,3,1,1,1,3,2,0,1,1
255,5,1,1,1,0,2,1,0,1,1,4,0,1,0
291,4,1,1,5,1,3,1,1,1,5,6,0,1,1
187,8,1,1,5,1,3,1,1,1,2,1,1,1,1
272,4,1,1,4,1,2,1,1,1,1,6,0,1,1
168,5,1,1,1,0,2,1,0,1,2,4,0,1,0
78,1,1,1,5,1,3,1,1,1,4,5,0,1,1
55,5,1,1,0,0,3,1,0,1,1,4,0,1,0
133,9,1,1,5,1,3,1,1,1,1,3,0,1,1
122,6,1,1,5,1,3,1,1,1,4,1,1,1,1
197,2,1,1,4,1,2,1,1,1,3,3,0,1,1
43,10,1,1,2,0,1,1,0,1,5,4,0,1,0
161,2,1,1,5,1,3,1,1,1,1,3,0,1,1
166,6,1,1,5,1,3,1,1,1,1,1,1,1,1
